"tractid","death_injury_rf_risk_prob"
9001022400,0.612
9003480600,0.262
9009190301,0.186
11001007807,0.406
12009071500,0.442
12033003308,0.404
12035060214,0.43
12099007746,0.452
12103025602,0.702
13089022009,0.272
13117130612,0.348
13153021108,0.256
13247060407,0.72
19099040600,0.386
19113000100,0.232
17031281900,0.248
17031430500,0.39
17031800200,0.59
17031824120,0.254
17031826800,0.332
17043841318,0.302
17203030501,0.174
18011810601,0.226
18019050801,0.51
18027954600,0.23
18039000700,0.638
18063210104,0.656
18065976000,0.446
18097360302,0.432
18145710601,0.494
20091053411,0.186
20173005502,0.44
21049020103,0.346
21101020900,0.096
22063040902,0.39
24003730204,0.264
24031703000,0.228
24033800413,0.398
24033805909,0.9
24045010606,0.386
26157000400,0.508
26163565600,0.464
27015960500,0.428
27053000101,0.422
27145000701,0.444
29055450102,0.182
29189217851,0.248
37001021207,0.444
37067001400,0.62
37081013700,0.394
37101041002,0.148
37131920100,0.404
33009961500,0.508
34009021001,0.302
34017000700,0.23
34021000100,0.396
34027041701,0.322
34029731002,0.192
35001000901,0.444
32003001200,0.458
32003007200,0.336
36001014612,0.28
36001014613,0.334
36005016900,0.192
36027060201,0.396
36029005300,0.396
36029011400,0.464
36029013702,0.37
36047002300,0.28
36059414304,0.234
36065023501,0.362
36081020200,0.266
36081062500,0.6
36081077300,0.314
36091061702,0.318
36095740200,0.266
39035117500,0.922
39061021702,0.686
39093077100,0.314
39113050504,0.106
39151714901,0.214
40009966100,0.574
40143007801,0.818
42029307100,0.286
42041010100,0.348
42043022401,0.35
42071014000,0.29
42077006305,0.314
42101009500,0.47
42101014200,0.248
42101017702,0.852
72113071402,0.428
45063020201,0.402
47001020300,0.928
47093000800,0.584
47149040302,0.388
47179060700,0.334
48027022000,0.706
48029181712,0.634
48049951100,0.424
48113009605,0.426
48113016610,0.59
48121021745,0.334
48177000200,0.318
48177000500,0.322
48187210707,0.204
48201232702,0.448
48201450600,0.3
48209010804,0.308
48251130207,0.05
48321990000,0.262
48381021605,0.384
48439113709,0.382
48491020105,0.232
49035111101,0.422
51059491601,0.208
51700032131,0.542
53011043100,0.392
53025010901,0.394
53033021802,0.396
53033030600,0.334
53033032011,0.352
53053073500,0.132
55109120300,0.31
54013962600,0.414
54037972501,0.962
54057010700,0.568
1069040900,0.222
1073005908,0.578
4013108400,0.428
4019004716,0.386
6001451601,0.664
6013347000,0.152
6037113303,0.204
6037207103,0.398
6037408401,0.432
6037542402,0.154
6037554002,0.394
6037572500,0.428
6037602600,0.374
6037910001,0.4
6045011200,0.346
6061020106,0.384
6065043314,0.392
6073008348,0.382
6073013604,0.35
6077000500,0.412
6085503118,0.374
6095253205,0.398
6099000503,0.432
6099001800,0.47
8005005624,0.388
8031980100,0.262
9003462102,0.206
12057980100,0.262
12086009027,0.394
12087970900,0.43
12093910601,0.24
12095017001,0.434
12099980500,0.262
12109020400,0.142
12113010817,0.362
12115000405,0.422
13051000100,0.81
13067030231,0.292
13089021416,0.274
13135050545,0.532
13139000400,0.91
13221960100,0.422
13297110100,0.216
13299950900,0.542
15003009400,0.314
19181020800,0.212
17031230700,0.5
17031611800,0.18
17031825504,0.482
17053961600,0.382
17115001900,0.774
17139977000,0.418
17197882802,0.352
17201003602,0.272
18129040300,0.314
20091052606,0.364
20209044004,0.396
21177960500,0.444
25001011500,0.084
25009218100,0.202
25013801901,0.692
24025302200,0.652
24033801211,0.266
24037875500,0.478
23005004600,0.344
23005017304,0.13
26163535000,0.482
26163568800,0.396
27015960400,0.626
27123033600,0.31
27163070501,0.33
29027070200,0.338
29077000502,0.438
29095013410,0.494
30085080100,0.364
37081016102,0.59
37087980100,0.262
37167930700,0.372
37183054302,0.148
33011013100,0.38
33013031002,0.5
34011010200,0.288
34013010500,0.37
34039032700,0.042
35001000208,0.284
35035000602,0.442
35043010714,0.438
36035970500,0.206
36047012600,0.342
36047013900,0.282
36047057800,0.348
36059404400,0.256
36059518300,0.136
36081017200,0.356
36081020400,0.368
36087010802,0.102
36103147602,0.334
36103158103,0.308
36115088000,0.894
36119012102,0.214
39003012100,0.95
39049000710,0.46
39049008142,0.362
39061010900,0.464
41015950301,0.822
42027011800,0.218
42045401700,0.366
42049002700,0.414
42069110500,0.308
42071011901,0.188
42095016202,0.342
42099030501,0.318
42129800400,0.428
72013301600,0.356
72031050222,0.426
72031050831,0.418
45015020710,0.332
45043920501,0.29
45051050900,0.652
45083023403,0.394
47013950900,0.42
48003950400,0.368
48027022403,0.43
48041002008,0.364
48113019900,0.496
48121021750,0.236
48135001000,0.398
48201553801,0.362
48217960100,0.362
48303002203,0.3
48453000804,0.238
49049010106,0.33
51059481600,0.246
51059481702,0.366
51149850302,0.388
51199050500,0.158
51530930600,0.406
50007002702,0.054
53033009400,0.398
53033021100,0.534
53053060904,0.444
53061041606,0.398
55009000900,0.21
55081950600,0.792
55087011300,0.422
55131400104,0.63
55133203802,0.294
54033031600,0.114
1073000800,0.744
1073010802,0.184
4019004071,0.438
6029003123,0.356
6037109300,0.634
6037127711,0.398
6037133000,0.392
6037273200,0.374
6037543601,0.402
6039000109,0.216
6055200504,0.426
6065045209,0.362
6071002901,0.372
6083002209,0.402
6085510700,0.33
6095251803,0.41
9003405500,0.628
12023110700,0.492
12073000600,0.578
12083000502,0.478
12086000403,0.336
12086000808,0.406
12091022300,0.564
12095013406,0.668
12115001601,0.502
13069010801,0.412
13073030102,0.148
13143010100,0.288
13233010400,0.404
19059451100,0.384
16001010221,0.234
17031490500,0.156
17031801100,0.216
17089853900,0.272
18019050503,0.43
