Tract (Group 1)	risk_indicator
17031824800	2
17031826301	1
17031826800	1
17031827000	1
17031827100	3
17031827200	1
17031827500	1
17031829000	3
17031829700	1
17031829800	1
17031833900	1
17031835000	1
17031835100	2
17031835600	1
17031837300	1
17031837800	3
17031838800	0
17031840800	1
17031841400	2
17031841800	1
17031842100	1
17031842600	1
17031980000	4
17035972500	1
17037000500	0
17051950700	1
17055040200	1
17055040800	1
17055041000	1
17055041100	1
17057953300	0
17057953900	1
17077010600	1
17081050700	1
17083010100	1
17083010401	1
17085020100	2
17085020200	1
17097860400	1
17097860811	1
17097863202	1
17097863701	10
17099962200	1
17099963700	1
17099964100	2
17101881000	1
17101881100	1
17103000600	0
17103000900	1
17105960100	1
17107953200	1
17109011100	1
17111870605	3
17111870606	11
17111870904	2
17111871500	2
17115000200	2
17115000300	1
17115001100	1
17115002100	1
17115002904	1
17117956300	1
17117956800	1
17119400102	1
17119400600	1
17119401721	1
17119402100	1
17119402400	1
17123961300	1
17125956400	1
17125956500	1
17127970400	1
17131040100	1
17133600501	1
17137951500	1
17137951700	1
17137952200	1
17139977000	0
17139977100	1
17141961500	1
17143000200	3
17143000300	1
17143000500	1
17143001300	5
17143002100	1
17143003401	1
17143003800	1
17143004300	1
17143004400	1
17143004802	1
17143004902	1
17145030100	1
17145030400	1
17153971100	1
17161020300	1
17161021100	1
17161022600	1
17161023600	1
17163501100	4
17163501400	1
17163502200	2
17163502500	1
17163502800	2
17163502900	1
17163504302	1
17165955900	2
17167000900	2
17167002300	1
17167002600	0
17167003201	1
17169970100	1
17169970200	1
17177000400	1
17177000600	1
17177000700	1
17179020400	7
17179020600	1
17179021603	1
17179021701	1
17179021900	0
17181950400	1
17181950500	1
17183000300	1
17183010300	2
17183010500	1
17183010701	1
17183010800	1
17183011100	1
17183011200	2
17189950100	1
17195001600	6
17197880107	1
17197880702	1
17197881109	3
17197882400	1
17197882900	2
17197883605	3
17199020600	0
17201000700	1
17201001000	1
17201001100	19
17201001200	3
17201002200	1
17201002400	1
17201003200	1
17201003300	1
17201004001	1
18003001100	1
18003001300	1
18003001700	1
18003002800	1
18003003000	1
18003004000	1
18003004300	1
18003010500	2
18003010804	1
18003011202	1
18003011302	1
18003011604	35
18003011608	1
18003980002	1
18005010200	1
18005010300	1
18005010400	1
18005010500	1
18005010900	1
18005011000	1
18005011400	1
18005011500	2
18013974600	1
18019050303	1
18019050703	1
18019050904	1
18021040100	1
18021040600	1
18023950700	1
18023950800	1
18027954700	1
18031969200	1
18035001700	1
18035002000	1
18035002302	1
18035002800	1
18039001200	1
18039001601	1
18039002700	1
18043070700	1
18043070802	1
18045957600	1
18045958000	1
18053010800	1
18055955000	1
18055955400	1
18057110505	1
18057110600	3
18059410300	1
18061060200	1
18061060300	1
18061060400	1
18075963200	1
18079960400	1
18081610403	1
18083955000	1
18083955500	1
18085961800	1
18085962700	1
18089011400	1
18089011600	1
18089011700	1
18089012600	1
18089040100	1
18089041500	1
18091040900	1
18093950700	1
18093951300	1
18095000300	2
18095000400	1
18095000800	3
18095000900	7
18095001000	1
18095001400	1
18097310305	9
18097310312	1
18097320500	1
18097320902	13
18097322500	2
18097330202	1
18097330700	1
18097330803	1
18097330806	3
18097331000	1
18097340700	1
18097342500	1
18097342600	1
18097350800	1
18097352400	1
18097352800	1
18097354800	1
18097354900	8
18097356900	1
18097357200	2
18097357600	1
18097360101	1
18097360700	1
18097380402	3
18097380403	1
18097380501	1
18097390600	1
18097390700	2
18099020600	0
18101950200	1
18103952600	1
18103952700	1
18109510402	1
18117951500	1
18119955600	1
18119955800	1
18119955900	1
18121030300	1
18125954000	1
18125954100	3
18127050407	1
18131959100	1
18133956200	1
18135951400	1
18141002200	1
18141002700	0
18141003100	1
18141010200	3
18141011301	0
18141011305	1
18147953000	1
18149954200	2
18151971300	1
18153050100	2
18153050300	1
18157000400	1
18157001100	1
18157001200	3
18157001300	1
18157001502	0
18157011100	1
18163000100	1
18163002000	1
18163002100	1
18163003702	1
18163003804	1
18165020500	1
18167000300	2
18167000500	1
18167000600	2
18167001400	1
18167010500	1
18167011000	1
18167011200	1
18169102900	1
18173030100	1
18179040400	1
18181958200	2
18181958700	2
18183050700	0
19007950300	1
19009070100	1
19011960500	2
19013000800	1
19013001701	1
19013001702	1
19013002000	1
19013002603	1
19015020200	1
19015020300	1
19017004500	1
19023070100	0
19027960100	3
19031450500	1
19033950300	1
19033951000	1
19039960200	1
19043070300	1
19045000100	0
19055950100	2
19055950400	1
19061000600	2
19065080600	1
19069360100	1
19073080300	1
19077950200	1
19087970200	2
19099040200	1
19101090100	1
19103001400	1
19103010400	3
19105070500	1
19107080300	0
19113000203	1
19113000901	1
19113001002	1
19113001101	1
19113002700	1
19113002900	0
19121060200	1
19123950400	1
19123950700	1
19125030500	6
19131560300	1
19133960300	0
19135070100	1
19139050400	1
19139050700	1
19139050800	1
19153000400	1
19153000901	1
19153002700	1
19153010803	1
19161080300	1
19163010700	1
19163010900	2
19163012502	3
19169000900	1
19169010300	1
19169010600	1
19173180300	1
19175190300	1
19177950100	2
19179960900	1
19179961000	2
19179961100	1
19181020300	1
19181020900	1
19185070200	1
19187000500	1
19189680200	1
19191950400	0
19193000400	1
19193001000	1
20003953700	1
20005081600	1
20009971800	1
20013480700	1
20013480800	1
20015020700	1
20015020901	1
20029977200	0
20031966100	1
20035493100	1
20035494000	0
20037957300	0
20037957500	0
20037957600	0
20043020200	2
20051072800	1
20059954500	2
20073965600	1
20077961700	1
20079030100	1
20085082800	1
20091050200	1
20091052603	1
20091053508	1
20095961200	1
20099950200	1
20099950500	1
20099950700	1
20103070500	1
20103070900	1
20103071400	0
20107955100	2
20123176600	2
20125950100	0
20125950300	0
20125950400	0
20125950500	0
20125950700	0
20133951700	0
20133952000	0
20139010200	2
20139010500	1
20149000100	1
20149000400	1
20155000700	1
20155001000	1
20169001200	1
20173002200	1
20173003200	1
20173003700	1
20173005200	1
20173005600	1
20173005700	1
20173007000	0
20173007700	0
20173008200	1
20173008400	1
20173008900	1
20173010004	1
20173010200	1
20177000400	3
20177000600	2
20177000900	1
20177001000	1
20177001100	1
20177001300	1
20177001800	1
20177003100	2
20177003606	1
20191962100	1
20191962300	1
20191962600	1
2020000204	1
2020000701	2
2020000702	1
2020000901	1
2020001300	1
2020001500	1
2020001731	1
2020002303	3
2020002822	1
20209040900	1
20209041000	1
20209041300	1
20209041800	1
20209042300	0
20209043400	0
20209043904	1
20209044202	1
20209044500	1
20209045200	1
2090000400	2
2090000900	1
2090001500	1
2090001700	1
2090001900	1
21001970300	1
21007950100	1
21007950300	1
21013960100	1
21013960600	1
21025920100	1
21027960502	1
21029020800	1
21029021102	2
21033920200	1
21033920300	1
21035010200	1
21035010302	NA
21035010400	NA
21035010800	1
21037050500	2
21037050600	1
21037051101	1
21037051904	1
21045950400	1
21047200400	1
21047201000	1
21047201100	1
21047201200	1
21049020202	1
21051950100	1
21057950100	1
21059000400	1
21059000500	NA
21059001701	1
21059001800	NA
21065920300	1
21067000101	13
21067000300	1
21067001100	1
21067001300	1
21067002001	1
21067003803	1
21067003908	1
21067004104	1
21067004204	1
21067004208	1
21069920300	1
21071920400	2
21071920600	1
21073070500	1
21073070600	1
21073071000	0
21073071100	1
21075960100	0
21077960101	4
21079970200	1
21079970400	1
21085950300	1
21085950400	1
21085950600	1
21089040202	1
21089040502	1
21089040700	1
21093000100	1
21093001002	1
21093001402	1
21093001500	NA
21097950300	1
21099970200	2
21099970300	2
21099970500	1
2110000100	1
21101020601	1
21101020602	1
21103090400	1
21107970300	2
21107970400	1
21107970500	0
21107970600	1
21107970700	2
21107970800	1
21107971000	1
21111000200	3
21111000300	1
21111000400	1
21111001600	1
21111001700	1
21111002400	3
21111002800	1
21111004301	1
21111004600	1
21111009105	1
21111010901	1
21111011505	1
21111012204	1
21111012410	1
21111012503	1
21111012801	2
21113060200	1
21115960400	3
21115960500	2
21117060700	1
21117063606	1
21117063702	1
21117064600	1
21123960200	1
21125970900	1
21129950100	1
21129950200	1
21133950600	1
21137920200	2
21137920300	1
21137920400	1
21139040100	1
21141960300	1
21145031500	1
21151010600	NA
21151010702	NA
21151011000	NA
21151011100	2
21153970200	2
21155970700	NA
21157950100	1
21157950600	2
21159950100	2
21159950200	1
21161960300	NA
21163970500	1
21173920301	1
21175950400	1
21177960500	3
21177960600	1
21177960800	1
21179930301	NA
21179930302	NA
21179930303	NA
21179930700	0
21183920400	1
21187970200	2
21191930200	2
21191930300	3
21193970500	1
21195930100	1
21195931000	1
21195931100	1
21199930100	1
21199930900	1
21203950200	2
21205950200	1
21205950300	1
21209040301	3
21209040400	1
21209040602	1
21211040102	0
21211040200	2
21211040302	0
21211040501	1
21213970300	0
21219950200	1
2122000500	1
21221970300	1
21223100100	0
21225950100	1
21227010600	0
21229930100	1
21229930200	1
21231920400	1
21233960100	1
21233960200	1
21233960300	1
21233960400	2
21235920100	2
21235920300	1
21235920700	1
2150000300	1
2170000402	3
2170000701	1
2170001003	1
2170001202	1
2185000200	1
22001960500	1
22003950200	1
22003950300	0
22003950400	1
22005030101	1
22009030400	1
22009030900	1
22011960600	0
22015011105	0
22017021100	0
22017022100	0
22017022200	0
22017022300	0
22017022500	0
22017023500	0
22017023600	0
22017024301	0
22017024303	8
22017024601	0
22017024602	0
22017025200	1
22019000300	1
22019000900	1
22019001400	2
22019002201	1
22019002400	1
22019002600	1
22019003101	1
22025000200	1
22027950400	0
22029000100	1
22031950500	0
22031950700	0
22033000100	1
22033000200	1
22033000300	1
22033000500	1
22033000702	1
22033002400	3
22033003202	1
22033003400	1
22033003504	1
22033003506	1
22033003604	2
22033004009	1
22033004201	1
22033004205	1
22033004602	1
22033004700	2
22033005100	2
22035000100	1
22037951400	1
22037951502	1
22039950600	1
22039950700	0
22039950800	1
22043020200	1
22043020401	3
22045030400	1
22045030900	1
22045031000	1
22047952900	1
22047953000	1
22049970400	1
22051020101	1
22051020511	1
22051020512	1
22051023700	1
22051027000	1
22051027701	2
22051027806	1
22051027810	2
22055000200	1
22055000800	1
22055001100	0
22055001200	0
22055001300	1
22055001905	1
22055002102	1
22055002104	1
22057020702	1
22057021200	1
22057021800	1
22059970100	0
22059970300	1
22061960600	0
22061960800	0
22063040201	1
22063040202	1
22063040402	1
22063040500	2
22063040901	2
22067950100	1
22067950400	2
22071000400	1
22071000602	2
22071000603	1
22071000605	2
22071000606	1
22071000904	3
22071001401	1
22071001402	5
22071001720	1
22071001723	1
22071001724	1
22071001725	1
22071001737	1
22071001744	0
22071001748	1
22071001900	2
22071002700	0
22071003400	2
22071007200	2
22071010000	4
