

Tract (Group 1)	Date (Group 2)	risk_indicator
47153060101	1/11/09	1
47157022023	1/11/09	1
47161110700	1/11/09	1
47175925200	1/11/09	1
47179061702	1/11/09	1
48029180504	1/11/09	1
48091310100	1/11/09	1
48113012206	1/11/09	1
48113016705	1/11/09	1
48113017808	1/11/09	4
48113018129	1/11/09	6
48181001803	1/11/09	1
48201332000	1/11/09	1
48201422200	1/11/09	1
48201521900	1/11/09	2
48201522402	1/11/09	1
48201531900	1/11/09	1
48201540200	1/11/09	10
48203020302	1/11/09	1
48245001200	1/11/09	2
48339694600	1/11/09	1
48349970100	1/11/09	1
48407200102	1/11/09	1
49037978100	1/11/09	1
5031000402	1/11/09	1
51005080202	1/11/09	1
51127700200	1/11/09	1
51177020403	1/11/09	1
5119003707	1/11/09	2
5127950200	1/11/09	1
53033027701	1/11/09	1
55019950200	1/11/09	1
55117000202	1/11/09	0
56035000102	1/11/09	0
6001451503	1/11/09	1
6015000102	1/11/09	1
6015000105	1/11/09	1
6037231600	1/11/09	2
6037554002	1/11/09	1
6039000300	1/11/09	2
6041129000	1/11/09	1
6059074802	1/11/09	2
6059074803	1/11/09	1
6081606100	1/11/09	1
6087110502	1/11/09	1
72013301400	1/11/09	1
8025969600	1/11/09	1
8069001709	1/11/09	1
9001110100	1/11/09	1
1053970300	1/12/09	1
1073010001	1/12/09	1
1089000302	1/12/09	1
1095030202	1/12/09	1
1095030904	1/12/09	1
1103005107	1/12/09	1
12031002802	1/12/09	1
12039020702	1/12/09	1
12057007103	1/12/09	1
12057012103	1/12/09	1
12075970400	1/12/09	1
12095014813	1/12/09	1
12099008201	1/12/09	2
12099008202	1/12/09	3
13063040409	1/12/09	1
13069010700	1/12/09	1
13089023101	1/12/09	1
13113140406	1/12/09	1
13121008500	1/12/09	0
13121010113	1/12/09	0
13121010510	1/12/09	1
13121011303	1/12/09	1
13127000900	1/12/09	1
13189950200	1/12/09	1
17001010200	1/12/09	1
17097860400	1/12/09	1
17163501100	1/12/09	1
17189950100	1/12/09	1
18003010804	1/12/09	1
18021040100	1/12/09	1
18035002000	1/12/09	1
18091040900	1/12/09	1
18093950700	1/12/09	1
18149954200	1/12/09	2
18163003804	1/12/09	1
18173030100	1/12/09	1
19009070100	1/12/09	1
19027960100	1/12/09	1
19099040200	1/12/09	1
19103010400	1/12/09	3
19177950100	1/12/09	1
19181020900	1/12/09	1
19187000500	1/12/09	1
20125950100	1/12/09	0
20125950300	1/12/09	0
20125950400	1/12/09	0
20125950500	1/12/09	0
20125950700	1/12/09	0
20139010200	1/12/09	1
21001970300	1/12/09	1
21111011505	1/12/09	1
21199930100	1/12/09	1
2170001202	1/12/09	1
22001960500	1/12/09	1
22033003202	1/12/09	1
22057021200	1/12/09	1
22079013200	1/12/09	1
24005401101	1/12/09	1
24510260404	1/12/09	1
25001012602	1/12/09	1
25021418002	1/12/09	1
26009960700	1/12/09	0
26015010401	1/12/09	1
26031960800	1/12/09	0
26093743700	1/12/09	0
26117970500	1/12/09	1
26141950400	1/12/09	1
26163537700	1/12/09	1
26163542400	1/12/09	1
27137012800	1/12/09	1
28009950100	1/12/09	1
28059040102	1/12/09	0
28059041800	1/12/09	2
28081950901	1/12/09	1
28099010700	1/12/09	1
28109950401	1/12/09	1
28113950101	1/12/09	1
29119070100	1/12/09	1
29215480100	1/12/09	1
31131966900	1/12/09	1
33013003006	1/12/09	1
33017081400	1/12/09	1
34017005801	1/12/09	1
36011040600	1/12/09	1
36029017400	1/12/09	3
36047079200	1/12/09	1
36061006500	1/12/09	0
36061013500	1/12/09	1
36061017402	1/12/09	0
36061018600	1/12/09	1
36067006101	1/12/09	2
36067013400	1/12/09	1
36085014100	1/12/09	0
36093020800	1/12/09	1
36103111801	1/12/09	1
37021003001	1/12/09	1
37067001800	1/12/09	1
37115010500	1/12/09	1
37119004400	1/12/09	1
37155960101	1/12/09	1
37157041200	1/12/09	1
37179020315	1/12/09	1
39017000400	1/12/09	1
39017011117	1/12/09	1
39035119800	1/12/09	1
39061006800	1/12/09	1
39061010100	1/12/09	3
39077915800	1/12/09	1
39095001800	1/12/09	1
39133600402	1/12/09	1
39153508800	1/12/09	1
40001376700	1/12/09	1
40031001902	1/12/09	1
40069660198	1/12/09	0
40069660300	1/12/09	0
40109108804	1/12/09	1
41017000402	1/12/09	1
41033360100	1/12/09	1
41039000100	1/12/09	1
41041950601	1/12/09	1
41067032005	1/12/09	1
42003435000	1/12/09	1
42003492700	1/12/09	1
42055011301	1/12/09	1
42061951100	1/12/09	1
42069110300	1/12/09	0
42071013702	1/12/09	1
42107001000	1/12/09	1
45007011402	1/12/09	1
45019003107	1/12/09	1
45029970500	1/12/09	1
45033970400	1/12/09	1
45041000900	1/12/09	1
45049920400	1/12/09	1
45063020804	1/12/09	1
47067960600	1/12/09	1
47093004404	1/12/09	1
47147080104	1/12/09	1
47147080200	1/12/09	1
47157007821	1/12/09	1
47157010820	1/12/09	1
47163042801	1/12/09	2
48113008704	1/12/09	1
48113017101	1/12/09	1
48121020309	1/12/09	1
48201253200	1/12/09	1
48209010400	1/12/09	1
48293970100	1/12/09	1
48361021600	1/12/09	1
48373210102	1/12/09	1
48439114102	1/12/09	1
48439122700	1/12/09	0
48439122801	1/12/09	1
48453001908	1/12/09	1
48455950200	1/12/09	1
5031000700	1/12/09	1
